unit_id,sentences,code,coder1,coder2,coder3,coder4,coder5,dataset,document_id,text,url,concreteness,concr_ratings,subjectivity_2-class,subjectivity_4-class
B1612_1,1-1,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1612,"Verbreiterung aller Schutz- und Radfahrstreifen auf mindestens 2 Meter, neben Parkenden Autos auf 2,75 Meter",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/verbreiterung-aller-schutz-und-radfahrstreifen-auf-mindestens-2-meter,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1612_2,2-2,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1612,"Verbreiterung aller Schutz- und Radfahrstreifen auf mindestens 2 Meter, neben parkenden Autos (Längsparker)auf 2,75 Meter.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/verbreiterung-aller-schutz-und-radfahrstreifen-auf-mindestens-2-meter,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1612_3,3-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1612,"Alles andere suggeriert dem Autofahrer, dass er Radfahrer in geringstem Abstand überholen kann, was jeden Tag hundetfach zu lebensgefährlichen Situationen führt.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/verbreiterung-aller-schutz-und-radfahrstreifen-auf-mindestens-2-meter,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1613_1,1-1,premise,high concreteness,high concreteness,high concreteness,high concreteness,intermediate concreteness,CD_B,B1613,Übergang zwischen Promenade und Bröltalweg häufig zugeparkt,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/uebergang-zwischen-promenade-und-broeltalweg-haeufig-zugeparkt,high concreteness,"[2, 2, 2, 2, 1]",0,1
B1613_2,2-2,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1613,"In der Rheinaustraße stehen häufig geparkte Autos vor der Aus- und Zufahrt des Fahrradwegs, der dort die Straße quert.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/uebergang-zwischen-promenade-und-broeltalweg-haeufig-zugeparkt,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1614_1,1-1,premise,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1614,Neues Hindernis auf einem der wichtigsten Bonner Radwege,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/neues-hindernis-auf-einem-der-wichtigsten-bonner-radwege,intermediate concreteness,"[1, 1, 1, 1, 1]",0,0
B1614_2,2-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1614,"Ohne Zweifel gehört der Radweg längs der linksrheinischen Bahnstrecke zu einer der wichtigsten Radverbindungen in Bonn, die eigentlich zum Radschnellweg ausgebaut werden sollte. Durch den neuen Haltepunkt UN-Campus wird es demnächst auf dem Radweg zu Behinderungen kommen, vor allem, wenn bei gleichzeitigem Halt von zwei Zügen viele Fahrgäste die Joseph-Beuys-Allee überqueren müssen und sich auf dem Radweg stauen.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/neues-hindernis-auf-einem-der-wichtigsten-bonner-radwege,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1614_3,4-4,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1614,"Durch die Verlängerung der Unterführung unter der Beuys-Allee hindurch wäre das Problem für Fahrgäste in Richtung Bad Godesberg nicht aufgetreten, und man hätte eine Unterführung mit geraden Rampen auch als attraktive Radweg-Unterführung ausbauen können (dazu weiterer Verbesserungsvorschlag).",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/neues-hindernis-auf-einem-der-wichtigsten-bonner-radwege,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1615_1,1-1,premise,intermediate concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1615,Viel zu schmaler Schutzstreifen im Aufschwenkbereich der Türen parkender Autos.,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/viel-zu-schmaler-schutzstreifen-im-aufschwenkbereich-der-tueren-parkender,high concreteness,"[1, 2, 2, 2, 2]",0,1
B1615_2,3-3,mpos,high concreteness,low concreteness,high concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1615,Entweder Autos weg oder Schutzstreifen weg.,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/viel-zu-schmaler-schutzstreifen-im-aufschwenkbereich-der-tueren-parkender,intermediate concreteness,"[2, 0, 2, 1, 1]",1,3
